Cited_DOI	Last_Cited_Year
10.1007/3-540-49257-7_23	2000
10.1007/3-540-49257-7_25	2001
10.1007/3-540-49257-7_27	2001
10.1007/3-540-49257-7_28	2000
10.1007/3-540-49257-7_29	1999
10.1007/3-540-49257-7_3	1999
10.1007/3-540-49257-7_4	2000
10.1007/3-540-49292-5_4	2000
10.1007/3-540-49481-2_11	1998
10.1007/3-540-49538-x_2	2002
10.1007/3-540-49538-x_3	1999
10.1007/3-540-49538-x_5	2002
10.1007/3-540-49538-x_6	1997
10.1007/3-540-49538-x_8	1997
10.1007/3-540-49651-3_6	1999
10.1007/3-540-49653-x_27	2000
10.1007/3-540-49653-x_8	1998
10.1007/3-540-49653-x_87	2000
10.1007/3-540-50171-1_1	1997
10.1007/3-540-50171-1_13	1997
10.1007/3-540-50171-1_14	1991
10.1007/3-540-50171-1_15	1993
10.1007/3-540-50171-1_16	1993
10.1007/3-540-50171-1_17	1993
10.1007/3-540-50171-1_19	1991
10.1007/3-540-50171-1_2	1995
10.1007/3-540-50171-1_20	1997
10.1007/3-540-50171-1_21	1990
10.1007/3-540-50171-1_22	1993
10.1007/3-540-50171-1_23	1993
10.1007/3-540-50171-1_26	1990
10.1007/3-540-50171-1_3	1990
10.1007/3-540-50171-1_4	1989
10.1007/3-540-50171-1_5	1995
10.1007/3-540-50171-1_6	1997
10.1007/3-540-50171-1_7	1991
10.1007/3-540-50171-1_9	1992
10.1007/3-540-50241-6_29	1995
10.1007/3-540-50241-6_41	1989
10.1007/3-540-50345-5	1994
10.1007/3-540-50345-5_1	1994
10.1007/3-540-50345-5_10	1994
10.1007/3-540-50345-5_11	1990
10.1007/3-540-50345-5_12	1994
10.1007/3-540-50345-5_13	1995
10.1007/3-540-50345-5_18	1995
10.1007/3-540-50345-5_19	2001
10.1007/3-540-50345-5_2	1994
10.1007/3-540-50345-5_20	1992
10.1007/3-540-50345-5_21	1995
10.1007/3-540-50345-5_24	1995
10.1007/3-540-50345-5_26	1992
10.1007/3-540-50345-5_28	1995
10.1007/3-540-50345-5_30	1994
10.1007/3-540-50345-5_33	1990
10.1007/3-540-50345-5_34	1994
10.1007/3-540-50345-5_35	1993
10.1007/3-540-50345-5_36	1995
10.1007/3-540-50345-5_37	1996
10.1007/3-540-50345-5_5	1990
10.1007/3-540-50345-5_8	1992
10.1007/3-540-50345-5_9	1999
10.1007/3-540-50517-2_98	1989
10.1007/3-540-50667-5_58	1995
10.1007/3-540-50701-9_21	1994
10.1007/3-540-50728-0_32	1999
10.1007/3-540-50728-0_39	1992
10.1007/3-540-50728-0_41	1993
10.1007/3-540-50939-9_122	1990
10.1007/3-540-50939-9_137	1991
10.1007/3-540-51084-2_43	1990
10.1007/3-540-51085-0_42	1999
10.1007/3-540-51085-0_43	1998
10.1007/3-540-51085-0_47	1996
10.1007/3-540-51085-0_48	1994
10.1007/3-540-51085-0_49	1991
10.1007/3-540-51085-0_50	1998
10.1007/3-540-51085-0_52	1995
10.1007/3-540-51171-7	1996
10.1007/3-540-51171-7_18	1995
10.1007/3-540-51171-7_19	1995
10.1007/3-540-51171-7_20	1995
10.1007/3-540-51171-7_21	1995
10.1007/3-540-51171-7_22	1994
10.1007/3-540-51171-7_23	1994
10.1007/3-540-51171-7_24	1993
10.1007/3-540-51171-7_27	1995
10.1007/3-540-51171-7_29	1991
10.1007/3-540-51171-7_31	1996
10.1007/3-540-51171-7_32	1992
10.1007/3-540-51171-7_33	1996
10.1007/3-540-51171-7_34	1993
10.1007/3-540-51251-9_10	1995
10.1007/3-540-51251-9_18	1992
10.1007/3-540-51251-9_2	1994
10.1007/3-540-51251-9_20	1989
10.1007/3-540-51251-9_22	1992
10.1007/3-540-51251-9_23	1991
10.1007/3-540-51251-9_24	1992
10.1007/3-540-51251-9_25	1996
10.1007/3-540-51251-9_4	1993
10.1007/3-540-51251-9_5	1992
10.1007/3-540-51251-9_6	1992
10.1007/3-540-51251-9_8	1991
10.1007/3-540-51295-0_116	1991
10.1007/3-540-51295-0_118	1993
10.1007/3-540-51295-0_119	1996
10.1007/3-540-51295-0_120	1993
10.1007/3-540-51295-0_129	1994
10.1007/3-540-51295-0_131	2000
10.1007/3-540-51295-0_132	1993
10.1007/3-540-51295-0_140	1998
10.1007/3-540-51295-0_143	1997
10.1007/3-540-51295-0_144	1992
10.1007/3-540-51295-0_145	1993
10.1007/3-540-51295-0_146	1994
10.1007/3-540-51295-0_148	1995
10.1007/3-540-51295-0_150	1997
10.1007/3-540-51324-8_27	1994
10.1007/3-540-51324-8_30	1992
10.1007/3-540-51324-8_32	1996
10.1007/3-540-51324-8_33	1994
10.1007/3-540-51324-8_34	1990
10.1007/3-540-51324-8_36	1991
10.1007/3-540-51324-8_40	1994
10.1007/3-540-51324-8_41	1998
10.1007/3-540-51324-8_42	1995
10.1007/3-540-51324-8_43	1991
10.1007/3-540-51324-8_47	1996
10.1007/3-540-51486-4_55	1999
10.1007/3-540-51486-4_58	1992
10.1007/3-540-51498-8_33	1994
10.1007/3-540-51498-8_35	1990
10.1007/3-540-51498-8_46	1990
10.1007/3-540-51525-9	1999
10.1007/3-540-51635-2_32	1999
10.1007/3-540-51635-2_45	1998
10.1007/3-540-51635-2_46	1994
10.1007/3-540-51687-5_44	1999
10.1007/3-540-51687-5_45	2001
10.1007/3-540-51734-0_50	2000
10.1007/3-540-52048-1_46	1991
10.1007/3-540-52208-5	2000
10.1007/3-540-52208-5_19	1998
10.1007/3-540-52208-5_20	1999
10.1007/3-540-52208-5_22	1994
10.1007/3-540-52208-5_23	1998
10.1007/3-540-52208-5_24	1998
10.1007/3-540-52208-5_26	1991
10.1007/3-540-52208-5_27	1998
10.1007/3-540-52208-5_28	1991
10.1007/3-540-52208-5_32	1991
10.1007/3-540-52208-5_33	1998
10.1007/3-540-52208-5_34	1998
10.1007/3-540-52337-6	1993
10.1007/3-540-52337-6_21	1995
10.1007/3-540-52337-6_22	1993
10.1007/3-540-52342-1	1995
10.1007/3-540-52342-1_17	1997
10.1007/3-540-52342-1_18	2001
10.1007/3-540-52342-1_22	1998
10.1007/3-540-52342-1_23	2000
10.1007/3-540-52342-1_24	1996
10.1007/3-540-52342-1_25	1996
10.1007/3-540-52342-1_29	1994
10.1007/3-540-52590-4_50	1994
10.1007/3-540-52592-0_54	1994
10.1007/3-540-52753-2_42	1995
10.1007/3-540-52885-7_79	1995
10.1007/3-540-52885-7_80	1991
10.1007/3-540-52885-7_82	1992
10.1007/3-540-53162-9_34	1997
10.1007/3-540-53397-4_30	1992
10.1007/3-540-53397-4_32	1996
10.1007/3-540-53397-4_33	1991
10.1007/3-540-53397-4_35	1991
10.1007/3-540-53397-4_38	1991
10.1007/3-540-53397-4_42	1994
10.1007/3-540-53507-1_67	1995
10.1007/3-540-53507-1_68	1995
10.1007/3-540-53507-1_69	1995
10.1007/3-540-53507-1_70	1996
10.1007/3-540-53507-1_71	1998
10.1007/3-540-53507-1_72	1995
10.1007/3-540-53507-1_73	1994
10.1007/3-540-53507-1_74	1998
10.1007/3-540-53507-1_75	1997
10.1007/3-540-53507-1_76	1998
10.1007/3-540-53507-1_77	1995
10.1007/3-540-53507-1_78	1997
10.1007/3-540-53507-1_79	1999
10.1007/3-540-53507-1_82	1991
10.1007/3-540-53507-1_85	1991
10.1007/3-540-53507-1_87	1996
10.1007/3-540-53507-1_88	1992
10.1007/3-540-53507-1_89	1993
10.1007/3-540-53507-1_90	1999
10.1007/3-540-53507-1_91	1995
10.1007/3-540-53507-1_93	1991
10.1007/3-540-53507-1_94	1995
10.1007/3-540-53507-1_95	1997
10.1007/3-540-53507-1_96	1998
10.1007/3-540-53507-1_97	1992
10.1007/3-540-53507-1_98	2000
