conference	authors	title	year	DOI
Empirical Software Engineering	Manish Motwani, Sandhya Sankaranarayanan, René Just, and Yuriy Brun	Do automated program repair techniques repair hard and important bugs?	2017	10.1007/s10664-017-9550-0
TACAS	ThanhVu Nguyen, Westley Weimer, Deepak Kapur, and Stephanie Forrest	Connecting Program Synthesis and Reachability: Automatic Program Repair Using Test-Input Generation	2017	10.1007/978-3-662-54577-5_17
Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering	Ripon K. Saha, Yingjun Lyu, and Hiroaki Yoshida	Elixir: Effective object-oriented program repair	2017	NOT_FOUND
Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering	Liam Schramm	Improving performance of automatic program repair using learned heuristics	2017	10.1145/3106237.3121281
Proceedings of the 39th International Conference on Software Engineering: New Ideas and Emerging Results Track	David Shriver, Sebastian Elbaum, and Kathryn T. Stolee	At the End of Synthesis: Narrowing Program Candidates	2017	10.1109/icse-nier.2017.7
2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)	Shin Hwei Tan, Jooyong Yi, Sergey Mechtaev, Abhik Roychoudhury, et al	Code-flaws: a programming competition benchmark for evaluating automated program repair tools	2017	NOT_FOUND
FSE'17	Y. Tian and B. Ray	Automatically Diagnosing and Repairing Error Handling Bugs in C	2017	10.1145/3106237.3106300
PhD thesis. University of York	Christopher Steven Timperley	Advanced Techniques for Search-Based Program Repair	2017	NOT_FOUND
Proceedings of the Joint Meeting on Foundations of Software Engineering	Sahil Verma and Subhajit Roy	Synergistic debug-repair of heap manipulations	2017	10.1145/3106237.3106263
arXiv preprint arXiv:1711.07163	Ke Wang, Rishabh Singh, and Zhendong Su	Dynamic Neural Program Embedding for Program Repair	2017	NOT_FOUND
arXiv preprint arXiv:1707.05172	Ming Wen, Junjie Chen, Rongxin Wu, Dan Hao, and Shing-Chi Cheung	An empirical analysis of the influence of fault space on search-based automated program repair	2017	NOT_FOUND
Tech. rep. 1707.04742. Arxiv	Martin White, Michele Tufano, Matias Martinez, Martin Monperrus, and Denys Poshyvanyk	Sorting and Transforming Program Repair Ingredients via Deep Learning Code Similarities	2017	NOT_FOUND
Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)	Qi Xin and Steven P Reiss	Leveraging syntax-related code for automated program repair	2017	10.1109/ase.2017.8115676
Proceedings of the 39th International Conference on Software Engineering	Yingfei Xiong, Jie Wang, Runfa Yan, Jiachen Zhang, Shi Han, Gang Huang, and Lu Zhang	Precise Condition Synthesis for Program Repair	2017	10.1109/icse.2017.45
